,temperature_text,color_code,url_suffix,temperature,coordinates_str,lat,long
48,"53.7 °C (128.7 °F)
",#560000,/wiki/Mohenjo-daro,53.7,"('27°19′45″N', '68°08′20″E')",27.329166666666666,68.1388888888889
49,"42.2 °C (108.0 °F)
",#F50000,/wiki/Tuguegarao,42.2,"('17°36′48″N', '121°43′49″E')",17.613333333333333,121.73027777777779
50,"50.4 °C (122.7 °F)
",#840000,/wiki/Doha,50.4,"('25°17′12″N', '51°32′0″E')",25.28666666666667,51.53333333333333
51,"52.0 °C (125.6 °F)
",#6E0000,/wiki/Jeddah,52.0,"('21°32′36″N', '39°10′22″E')",21.543333333333337,39.172777777777775
52,"37.0 °C (98.6 °F)
",#FF1F00,"/wiki/Tengah,_Singapore",37.0,"(None, None)",,
53,"41.0 °C (105.8 °F)
",#FF0300,/wiki/Hongcheon,41.0,"('37°41′33″N', '127°52′48″E')",37.692499999999995,127.88
54,"39.8 °C (103.6 °F)
",#FF0B00,/wiki/Trincomalee,39.8,"('8°34′N', '81°14′E')",8.566666666666666,81.23333333333333
55,"49.4 °C (120.9 °F)
",#920000,/wiki/Al-Hasakah,49.4,"('36°30′42″N', '40°44′32″E')",36.51166666666666,40.742222222222225
56,"41.6 °C (106.9 °F)
",#FD0000,/wiki/Fuyuan_National_Forest_Recreation_Area,41.6,"('23°35′09.3″N', '121°22′06.7″E')",23.585916666666666,121.36852777777777
57,"48.0 °C (118.4 °F)
",#A50000,/wiki/Panji_Poyon,48.0,"('37°11′43″N', '68°34′43″E')",37.195277777777775,68.5786111111111
58,"45.4 °C (113.7 °F)
",#C90000,"/wiki/Tak,_Thailand",45.4,"('16°52′16″N', '99°07′30″E')",16.871111111111112,99.125
59,"49.5 °C (121.1 °F)
",#900000,/wiki/Sar%C4%B1cakaya,49.5,"('40°02′N', '30°31′E')",40.03333333333333,30.516666666666666
60,"50.1 °C (122.2 °F)
",#880000,/wiki/Repetek_Biosphere_State_Reserve,50.1,"('38°36′22″N', '63°12′50″E')",38.60611111111111,63.21388888888889
61,"52.1 °C (125.8 °F)
",#6C0000,/w/index.php?title=Al_Jazeera_Border_Gate&action=edit&redlink=1,52.1,"(None, None)",,
62,"44.2 °C (111.6 °F)
",#D90000,/wiki/T%C6%B0%C6%A1ng_D%C6%B0%C6%A1ng_District,44.2,"('19°40′01″N', '104°40′01″E')",19.666944444444447,104.66694444444445
63,"34.0 °C (93.2 °F)
",#FF3300,/wiki/RAF_Akrotiri,34.0,"('34°35′25″N', '32°59′16″E')",34.59027777777778,32.98777777777778
64,"44.0 °C (111.2 °F)
",#DC0000,/wiki/Ku%C3%A7ov%C3%AB,44.0,"(None, None)",,
65,"39.4 °C (102.9 °F)
",#FF0E00,/w/index.php?title=Borda_Vidal&action=edit&redlink=1,39.4,"(None, None)",,
66,"43.7 °C (110.7 °F)
",#E00000,/wiki/Meghri,43.7,"('38°54′12″N', '46°14′45″E')",38.90333333333333,46.24583333333334
67,"40.5 °C (104.9 °F)
",#FF0600,/wiki/Bad_Deutsch-Altenburg,40.5,"('48°8′N', '16°54′E')",48.13333333333333,16.9
