,temperature_text,color_code,url_suffix,temperature,coordinates_str
113,"35.0 °C (95.0 °F)
",#FF2C00,/wiki/Terrance_B._Lettsome_International_Airport,35.0,"('18°26′44″N', '064°32′35″W')"
114,"49.6 °C (121.3 °F)
",#8F0000,"/wiki/Lytton,_British_Columbia",49.6,"('50°13′52″N', '121°34′53″W')"
115,"34.9 °C (94.8 °F)
",#FF2D00,/wiki/Owen_Roberts_International_Airport,34.9,"('19°17′33″N', '081°21′33″W')"
116,"39.7 °C (103.5 °F)
",#FF0C00,/wiki/Granma_Province,39.7,"(None, None)"
117,"43.0 °C (109.4 °F)
",#EA0000,"/wiki/Mao,_Dominican_Republic",43.0,"('19°34′0″N', '71°05′0″W')"
118,"30.1 °C (86.2 °F)
",#FF4E00,/wiki/Ivittuut,30.1,"('61°12′30″N', '48°10′10″W')"
119,"45.0 °C (113.0 °F)
",#CE0000,/wiki/Estanzuela,45.0,"('15°00′00″N', '89°34′00″W')"
120,"36.5 °C (97.7 °F)
",#FF2200,"/wiki/Saint-Pierre,_Martinique",36.5,"('14°44′30″N', '61°10′33″W')"
121,"52.0 °C (125.6 °F)
",#6E0000,/wiki/Mexicali,52.0,"('32°39′48″N', '115°28′04″W')"
122,"40.0 °C (104.0 °F)
",#FF0A00,"/wiki/San_Francisco,_Panam%C3%A1",40.0,"('8°59′31″N', '79°30′25″W')"
123,"40.0 °C (104.0 °F)
",#FF0A00,/wiki/Mona_Island,40.0,"('18°5′12″N', '67°53′22″W')"
124,"56.7 °C (134.0 °F)
",#2D0000,"/wiki/Furnace_Creek,_California",56.7,"('36°27′29″N', '116°52′15″W')"
125,"37.2 °C (99 °F)
",#FF1D00,"/wiki/Saint_Thomas,_U.S._Virgin_Islands",37.2,"('18°20′N', '64°55′W')"
126,"50.7 °C (123.3 °F)
",#800000,/wiki/Oodnadatta,50.7,"('27°32′53″S', '135°26′44″E')"
127,"35.6 °C (96.1 °F)
",#FF2800,/wiki/Utirik_Atoll,35.6,"(None, None)"
128,"37.2 °C (99.0 °F)
",#FF1D00,/wiki/Yaren_District,37.2,"('0°32′51.72″S', '166°55′15.12″E')"
129,"42.4 °C (108.3 °F)
",#F20000,/wiki/Rangiora,42.4,"('43°18′12″S', '172°35′29″E')"
130,"35.0 °C (95.0 °F)
",#FF2C00,/wiki/Koror,35.0,"('07°20′32″N', '134°28′38″E')"
131,"35.3 °C (95.5 °F)
",#FF2A00,"/wiki/Asau,_Samoa",35.3,"('13°31′9.8″S', '172°38′14″W')"
132,"36.1 °C (97.0 °F)
",#FF2500,/wiki/Honiara,36.1,"('9°25′55″S', '159°57′20″E')"
133,"35.5 °C (95.9 °F)
",#FF2900,/wiki/Niuafoou,35.5,"(None, None)"
134,"36.2 °C (97.2 °F)
",#FF2400,/w/index.php?title=Lamap_Malekula&action=edit&redlink=1,36.2,"(None, None)"
135,"35.8 °C (96.4 °F)
",#FF2700,/wiki/Pointe_Vele_Airport,35.8,"(None, None)"
136,"48.9 °C (120.0 °F)
",#990000,"/wiki/Rivadavia,_Salta",48.9,"(None, None)"
137,"46.7 °C (116.1 °F)
",#B70000,/wiki/Villamontes,46.7,"('21°15′39″S', '63°28′34″W')"
138,"44.8 °C (112.6 °F)
",#D10000,/wiki/Ara%C3%A7ua%C3%AD,44.8,"('16°51′00″S', '42°04′12″W')"
139,"44.9 °C (112.8 °F)
",#D00000,/wiki/Quill%C3%B3n,44.9,"('36°44′40″S', '72°28′36″W')"
140,"45.0 °C (113.0 °F)
",#CE0000,/wiki/Puerto_Salgar,45.0,"('5°30′N', '74°35′W')"
141,"38.0 °C (100.4 °F)
",#FF1800,/wiki/Saint-Laurent-du-Maroni,38.0,"('5°29′58″N', '54°01′52″W')"
142,"46.2 °C (115.2 °F)
",#BE0000,/w/index.php?title=Las_Palmas_(Paraguay)&action=edit&redlink=1,46.2,"(None, None)"
143,"41.6 °C (106.9 °F)
",#FD0000,/wiki/I%C3%B1apari,41.6,"('10°56′51.64″S', '69°34′35.04″W')"
144,"44.0 °C (111.2 °F)
",#DC0000,/wiki/Paysand%C3%BA,44.0,"('32°19′17″S', '58°4′32″W')"
145,"43.6 °C (110.5 °F)
",#E20000,/wiki/Santa_Ana_de_Coro,43.6,"('11°25′01″N', '69°40′12″W')"
